audio_id,audio_path,label,attack
T_0000000034,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000034.flac,spoof,A03
T_0000000035,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000035.flac,spoof,A03
T_0000000036,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000036.flac,spoof,A04
T_0000000037,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000037.flac,spoof,A05
T_0000000038,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000038.flac,spoof,A06
T_0000000039,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000039.flac,spoof,A06
T_0000000040,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000040.flac,spoof,A01
T_0000000041,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000041.flac,spoof,A08
T_0000000042,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000042.flac,spoof,A03
T_0000000043,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000043.flac,spoof,A03
T_0000000044,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000044.flac,spoof,A08
T_0000000045,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000045.flac,spoof,A01
T_0000000046,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000046.flac,spoof,A04
T_0000000047,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000047.flac,spoof,A06
T_0000000048,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000048.flac,spoof,A05
T_0000000049,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000049.flac,bonafide,bonafide
T_0000000050,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000050.flac,spoof,A02
T_0000000051,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000051.flac,spoof,A08
T_0000000052,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000052.flac,spoof,A02
T_0000000053,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000053.flac,spoof,A08
T_0000000054,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000054.flac,bonafide,bonafide
T_0000000055,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000055.flac,spoof,A07
T_0000000056,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000056.flac,spoof,A04
T_0000000057,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000057.flac,spoof,A04
T_0000000058,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000058.flac,bonafide,bonafide
T_0000000059,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000059.flac,spoof,A05
T_0000000060,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000060.flac,bonafide,bonafide
T_0000000061,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000061.flac,spoof,A03
T_0000000062,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000062.flac,bonafide,bonafide
T_0000000063,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000063.flac,spoof,A03
T_0000000064,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000064.flac,spoof,A07
T_0000000065,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000065.flac,spoof,A05
T_0000000066,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000066.flac,spoof,A06
T_0000000067,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000067.flac,spoof,A01
T_0000000068,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000068.flac,spoof,A06
T_0000000069,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000069.flac,spoof,A07
T_0000000070,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000070.flac,spoof,A03
T_0000000071,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000071.flac,spoof,A03
T_0000000072,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000072.flac,spoof,A01
T_0000000073,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000073.flac,spoof,A05
T_0000000074,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000074.flac,spoof,A07
T_0000000075,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000075.flac,spoof,A02
T_0000000076,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000076.flac,spoof,A01
T_0000000077,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000077.flac,spoof,A05
T_0000000078,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000078.flac,spoof,A01
T_0000000079,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000079.flac,spoof,A07
T_0000000080,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000080.flac,spoof,A03
T_0000000081,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000081.flac,spoof,A08
T_0000000082,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000082.flac,spoof,A05
T_0000000083,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000083.flac,spoof,A03
T_0000000084,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000084.flac,spoof,A04
T_0000000085,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000085.flac,bonafide,bonafide
T_0000000086,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000086.flac,spoof,A03
T_0000000087,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000087.flac,spoof,A01
T_0000000088,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000088.flac,spoof,A06
T_0000000089,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000089.flac,bonafide,bonafide
T_0000000090,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000090.flac,spoof,A02
T_0000000091,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000091.flac,spoof,A04
T_0000000092,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000092.flac,bonafide,bonafide
T_0000000093,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000093.flac,spoof,A01
T_0000000094,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000094.flac,spoof,A05
T_0000000095,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000095.flac,spoof,A07
T_0000000096,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000096.flac,spoof,A02
T_0000000097,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000097.flac,bonafide,bonafide
T_0000000098,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000098.flac,spoof,A08
T_0000000099,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000099.flac,spoof,A05
T_0000000100,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000100.flac,spoof,A07
T_0000000101,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000101.flac,spoof,A07
T_0000000102,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000102.flac,spoof,A01
T_0000000103,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000103.flac,spoof,A06
T_0000000104,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000104.flac,spoof,A08
T_0000000105,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000105.flac,spoof,A06
T_0000000106,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000106.flac,spoof,A05
T_0000000107,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000107.flac,spoof,A01
T_0000000108,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000108.flac,spoof,A05
T_0000000109,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000109.flac,spoof,A04
T_0000000110,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000110.flac,spoof,A08
T_0000000111,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000111.flac,spoof,A01
T_0000000112,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000112.flac,spoof,A04
T_0000000113,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000113.flac,spoof,A07
T_0000000114,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000114.flac,spoof,A01
T_0000000115,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000115.flac,spoof,A08
T_0000000116,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000116.flac,spoof,A01
T_0000000117,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000117.flac,spoof,A03
T_0000000118,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000118.flac,spoof,A07
T_0000000119,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000119.flac,spoof,A05
T_0000000120,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000120.flac,spoof,A08
T_0000000121,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000121.flac,spoof,A04
T_0000000122,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000122.flac,spoof,A07
T_0000000123,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000123.flac,spoof,A06
T_0000000124,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000124.flac,bonafide,bonafide
T_0000000125,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000125.flac,spoof,A05
T_0000000126,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000126.flac,spoof,A04
T_0000000127,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000127.flac,bonafide,bonafide
T_0000000128,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000128.flac,spoof,A02
T_0000000129,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000129.flac,bonafide,bonafide
T_0000000130,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000130.flac,spoof,A05
T_0000000131,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000131.flac,spoof,A03
T_0000000132,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000132.flac,spoof,A02
T_0000000133,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000133.flac,spoof,A07
T_0000000134,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000134.flac,bonafide,bonafide
T_0000000135,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000135.flac,spoof,A03
T_0000000136,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000136.flac,spoof,A04
T_0000000137,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000137.flac,spoof,A02
T_0000000138,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000138.flac,spoof,A08
T_0000000139,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000139.flac,spoof,A04
T_0000000140,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000140.flac,spoof,A02
T_0000000141,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000141.flac,spoof,A01
T_0000000142,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000142.flac,spoof,A06
T_0000000143,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000143.flac,spoof,A01
T_0000000144,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000144.flac,spoof,A01
T_0000000145,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000145.flac,spoof,A03
T_0000000146,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000146.flac,spoof,A08
T_0000000147,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000147.flac,spoof,A08
T_0000000148,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000148.flac,spoof,A08
T_0000000149,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000149.flac,spoof,A08
T_0000000150,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000150.flac,spoof,A08
T_0000000151,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000151.flac,spoof,A03
T_0000000152,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000152.flac,spoof,A06
T_0000000153,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000153.flac,spoof,A08
T_0000000154,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000154.flac,spoof,A05
T_0000000155,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000155.flac,spoof,A08
T_0000000156,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000156.flac,spoof,A04
T_0000000157,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000157.flac,spoof,A06
T_0000000158,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000158.flac,spoof,A07
T_0000000159,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000159.flac,spoof,A03
T_0000000160,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000160.flac,spoof,A06
T_0000000161,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000161.flac,spoof,A04
T_0000000162,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000162.flac,bonafide,bonafide
T_0000000163,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000163.flac,spoof,A08
T_0000000164,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000164.flac,spoof,A05
T_0000000165,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000165.flac,spoof,A04
T_0000000166,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000166.flac,spoof,A01
T_0000000167,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000167.flac,bonafide,bonafide
T_0000000168,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000168.flac,spoof,A03
T_0000000169,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000169.flac,spoof,A02
T_0000000170,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000170.flac,spoof,A06
T_0000000171,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000171.flac,spoof,A01
T_0000000172,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000172.flac,spoof,A06
T_0000000173,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000173.flac,spoof,A07
T_0000000174,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000174.flac,spoof,A02
T_0000000175,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000175.flac,spoof,A03
T_0000000176,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000176.flac,spoof,A05
T_0000000177,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000177.flac,spoof,A06
T_0000000178,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000178.flac,spoof,A04
T_0000000179,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000179.flac,spoof,A06
T_0000000180,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000180.flac,spoof,A06
T_0000000181,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000181.flac,spoof,A01
T_0000000182,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000182.flac,spoof,A08
T_0000000183,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000183.flac,spoof,A03
T_0000000184,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000184.flac,spoof,A05
T_0000000185,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000185.flac,spoof,A02
T_0000000186,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000186.flac,spoof,A05
T_0000000187,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000187.flac,spoof,A03
T_0000000188,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000188.flac,spoof,A07
T_0000000189,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000189.flac,spoof,A08
T_0000000190,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000190.flac,spoof,A06
T_0000000191,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000191.flac,spoof,A02
T_0000000192,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000192.flac,spoof,A05
T_0000000193,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000193.flac,spoof,A03
T_0000000194,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000194.flac,spoof,A01
T_0000000195,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000195.flac,spoof,A07
T_0000000196,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000196.flac,bonafide,bonafide
T_0000000197,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000197.flac,spoof,A06
T_0000000198,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000198.flac,spoof,A04
T_0000000199,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000199.flac,spoof,A07
T_0000000200,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000200.flac,spoof,A08
T_0000000201,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000201.flac,spoof,A06
T_0000000202,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000202.flac,spoof,A01
T_0000000203,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000203.flac,bonafide,bonafide
T_0000000204,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000204.flac,bonafide,bonafide
T_0000000205,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000205.flac,spoof,A05
T_0000000206,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000206.flac,spoof,A03
T_0000000207,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000207.flac,spoof,A06
T_0000000208,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000208.flac,spoof,A02
T_0000000209,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000209.flac,spoof,A06
T_0000000210,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000210.flac,spoof,A05
T_0000000211,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000211.flac,spoof,A02
T_0000000212,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000212.flac,spoof,A01
T_0000000213,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000213.flac,spoof,A03
T_0000000214,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000214.flac,spoof,A01
T_0000000215,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000215.flac,bonafide,bonafide
T_0000000216,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000216.flac,spoof,A01
T_0000000217,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000217.flac,spoof,A03
T_0000000218,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000218.flac,spoof,A07
T_0000000219,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000219.flac,spoof,A04
T_0000000220,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000220.flac,spoof,A08
T_0000000221,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000221.flac,bonafide,bonafide
T_0000000222,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000222.flac,spoof,A01
T_0000000223,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000223.flac,spoof,A07
T_0000000224,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000224.flac,spoof,A02
T_0000000225,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000225.flac,spoof,A01
T_0000000226,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000226.flac,spoof,A01
T_0000000227,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000227.flac,spoof,A02
T_0000000228,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000228.flac,spoof,A01
T_0000000229,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000229.flac,spoof,A08
T_0000000230,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000230.flac,bonafide,bonafide
T_0000000231,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000231.flac,spoof,A03
T_0000000232,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000232.flac,spoof,A08
T_0000000233,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000233.flac,spoof,A01
T_0000000234,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000234.flac,spoof,A07
T_0000000235,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000235.flac,spoof,A04
T_0000000236,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000236.flac,spoof,A04
T_0000000237,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000237.flac,spoof,A06
T_0000000238,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000238.flac,spoof,A05
T_0000000239,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000239.flac,spoof,A07
T_0000000240,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000240.flac,spoof,A06
T_0000000241,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000241.flac,spoof,A02
T_0000000242,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000242.flac,spoof,A02
T_0000000243,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000243.flac,spoof,A04
T_0000000244,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000244.flac,spoof,A04
T_0000000245,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000245.flac,spoof,A03
T_0000000246,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000246.flac,spoof,A01
T_0000000247,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000247.flac,spoof,A03
T_0000000248,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000248.flac,spoof,A06
T_0000000249,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000249.flac,spoof,A05
T_0000000250,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000250.flac,spoof,A07
T_0000000251,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000251.flac,spoof,A02
T_0000000252,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000252.flac,spoof,A04
T_0000000253,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000253.flac,spoof,A03
T_0000000254,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000254.flac,spoof,A06
T_0000000255,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000255.flac,spoof,A03
T_0000000256,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000256.flac,spoof,A08
T_0000000257,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000257.flac,spoof,A01
T_0000000258,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000258.flac,spoof,A07
T_0000000259,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000259.flac,spoof,A08
T_0000000260,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000260.flac,spoof,A03
T_0000000261,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000261.flac,spoof,A08
T_0000000262,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000262.flac,spoof,A07
T_0000000263,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000263.flac,spoof,A02
T_0000000264,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000264.flac,spoof,A07
T_0000000265,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000265.flac,spoof,A01
T_0000000266,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000266.flac,spoof,A05
T_0000000267,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000267.flac,spoof,A02
T_0000000268,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000268.flac,spoof,A03
T_0000000269,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000269.flac,spoof,A05
T_0000000270,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000270.flac,spoof,A01
T_0000000271,C:\Users\walia\Downloads\flac_T_aa\flac_T\T_0000000271.flac,bonafide,bonafide
